CustomerID,Age,TenureMonths,MonthlyCharges,Contract,InternetService,PaymentMethod,TechSupport,Churn
CUST0087,24,58,102.64,Month-to-month,No,Electronic check,No,Yes
CUST0088,37,72,102.45,Month-to-month,No,Mailed check,No,Yes
CUST0089,66,47,75.66,One year,No,Mailed check,Yes,No
CUST0090,70,11,73.36,Month-to-month,Fiber optic,Electronic check,Yes,Yes
CUST0091,45,37,52.82,Month-to-month,DSL,Credit card,Yes,Yes
CUST0092,68,33,91.26,Two year,Fiber optic,Electronic check,No,No
CUST0093,71,61,57.49,One year,DSL,Electronic check,No,No
CUST0094,42,29,54.49,Month-to-month,No,Electronic check,Yes,Yes
CUST0095,74,24,85.67,Two year,DSL,Bank transfer,Yes,No
CUST0096,36,6,68.95,Month-to-month,No,Bank transfer,Yes,Yes
CUST0097,33,61,50.79,Month-to-month,Fiber optic,Mailed check,No,No
CUST0098,60,55,107.53,Month-to-month,Fiber optic,Mailed check,No,Yes
CUST0099,58,3,111.75,Month-to-month,Fiber optic,Mailed check,No,Yes
CUST0100,26,32,45.93,Month-to-month,DSL,Bank transfer,No,No
CUST0101,70,35,30.71,One year,DSL,Electronic check,Yes,No
CUST0102,30,34,61.93,Month-to-month,Fiber optic,Bank transfer,No,Yes
CUST0103,68,67,105.76,Two year,No,Credit card,No,Yes
CUST0104,18,11,109.72,Two year,DSL,Credit card,Yes,No
CUST0105,68,23,43.14,One year,Fiber optic,Electronic check,No,No
CUST0106,67,14,103.56,One year,No,Electronic check,Yes,No
CUST0107,67,18,40.99,One year,DSL,Mailed check,No,Yes
CUST0108,59,66,67.06,Two year,Fiber optic,Credit card,No,No
CUST0109,47,68,124.87,Month-to-month,No,Electronic check,No,Yes
CUST0110,62,4,48.3,Month-to-month,No,Electronic check,No,No
CUST0111,35,46,44.63,One year,Fiber optic,Mailed check,Yes,Yes
CUST0112,67,17,70.17,One year,No,Bank transfer,No,No
CUST0113,53,14,88.87,Month-to-month,No,Bank transfer,No,No
CUST0114,46,22,118.63,One year,No,Electronic check,No,No
CUST0115,49,14,123.18,Month-to-month,DSL,Credit card,No,Yes
CUST0116,53,36,36.62,Two year,DSL,Bank transfer,Yes,No
CUST0117,20,72,43.11,Month-to-month,Fiber optic,Credit card,No,No
CUST0118,26,43,105.12,Month-to-month,DSL,Credit card,No,No
CUST0119,33,53,55.71,Month-to-month,No,Electronic check,Yes,Yes
CUST0120,25,36,114.06,Month-to-month,DSL,Credit card,No,Yes
CUST0121,45,2,93.03,Month-to-month,DSL,Credit card,No,Yes
CUST0122,60,7,40.63,Month-to-month,No,Credit card,No,Yes
CUST0123,59,20,109.09,Month-to-month,Fiber optic,Credit card,No,Yes
CUST0124,47,18,46.75,Month-to-month,No,Credit card,Yes,No
CUST0125,71,61,70.23,Month-to-month,DSL,Mailed check,No,No
CUST0126,53,61,82.46,Month-to-month,DSL,Bank transfer,Yes,Yes
CUST0127,22,62,77.57,Month-to-month,DSL,Bank transfer,No,Yes
CUST0128,66,46,95.19,Month-to-month,Fiber optic,Mailed check,No,Yes
CUST0129,54,41,92.01,Month-to-month,DSL,Electronic check,No,No
CUST0130,57,47,124.24,Month-to-month,No,Bank transfer,No,No
CUST0131,53,30,124.95,Month-to-month,DSL,Electronic check,No,Yes
CUST0132,52,49,79.06,One year,No,Bank transfer,No,Yes
CUST0133,23,58,39.04,Two year,Fiber optic,Bank transfer,Yes,Yes
CUST0134,53,55,99.15,Two year,No,Bank transfer,No,No
CUST0135,68,45,122.78,One year,No,Mailed check,No,No
CUST0136,37,5,60.24,One year,DSL,Electronic check,Yes,No
CUST0137,55,53,73.81,Month-to-month,DSL,Credit card,No,Yes
CUST0138,19,27,70.35,One year,Fiber optic,Bank transfer,No,Yes
CUST0139,39,54,34.88,One year,DSL,Mailed check,No,Yes
CUST0140,45,39,93.87,Two year,No,Electronic check,No,No
CUST0141,79,64,63.57,Two year,DSL,Mailed check,Yes,No
CUST0142,31,25,104.81,Month-to-month,DSL,Bank transfer,No,Yes
CUST0143,35,68,109.05,One year,No,Bank transfer,Yes,Yes
CUST0144,43,61,108.02,Two year,Fiber optic,Mailed check,Yes,No
CUST0145,80,24,69.58,Month-to-month,DSL,Mailed check,No,Yes
CUST0146,71,35,60.55,Two year,Fiber optic,Electronic check,Yes,No
CUST0147,20,39,101.14,Month-to-month,No,Bank transfer,Yes,No
CUST0148,32,56,106.13,Two year,Fiber optic,Electronic check,No,Yes
CUST0149,69,50,76.67,One year,DSL,Electronic check,Yes,No
CUST0150,21,62,114.84,Month-to-month,Fiber optic,Electronic check,Yes,Yes
CUST0151,71,27,43.67,One year,DSL,Credit card,Yes,No
CUST0152,35,37,113.51,Month-to-month,Fiber optic,Electronic check,No,Yes
CUST0153,75,32,39.13,One year,No,Mailed check,Yes,No
CUST0154,36,66,44.58,One year,No,Bank transfer,No,Yes
CUST0155,45,22,80.71,One year,DSL,Electronic check,No,Yes
CUST0156,59,43,36.41,Two year,No,Electronic check,Yes,Yes
CUST0157,25,9,35.02,Month-to-month,DSL,Credit card,No,Yes
CUST0158,53,62,30.05,Month-to-month,No,Credit card,Yes,No
CUST0159,49,28,71.45,Month-to-month,Fiber optic,Mailed check,No,Yes
CUST0160,67,25,103.59,Month-to-month,DSL,Mailed check,Yes,Yes
CUST0161,80,42,33.31,Month-to-month,DSL,Mailed check,No,No
CUST0162,59,36,91.96,Month-to-month,DSL,Bank transfer,Yes,No
CUST0163,43,62,108.2,Month-to-month,DSL,Credit card,No,Yes
CUST0164,43,39,45.96,Month-to-month,DSL,Bank transfer,Yes,Yes
CUST0165,44,38,43.95,Two year,DSL,Credit card,No,No
CUST0166,69,8,111.78,Month-to-month,No,Electronic check,Yes,Yes
CUST0167,38,2,108.2,Two year,DSL,Credit card,Yes,Yes
CUST0168,28,29,81.2,Month-to-month,Fiber optic,Credit card,Yes,No
CUST0169,39,72,107.82,Month-to-month,Fiber optic,Electronic check,No,Yes
CUST0170,19,67,38.81,One year,Fiber optic,Bank transfer,No,No
CUST0171,24,46,67.48,Month-to-month,No,Bank transfer,No,No
CUST0172,23,46,100.09,Month-to-month,DSL,Bank transfer,No,Yes
CUST0173,66,29,54.46,One year,Fiber optic,Bank transfer,No,No
CUST0174,63,13,101.47,Month-to-month,DSL,Electronic check,Yes,Yes
CUST0175,61,1,77.9,Month-to-month,No,Mailed check,No,Yes
CUST0176,47,25,101.28,One year,No,Electronic check,No,Yes
CUST0177,63,23,74.14,Month-to-month,Fiber optic,Credit card,No,Yes
CUST0178,28,14,64.95,Two year,No,Bank transfer,No,Yes
CUST0179,74,19,50.82,Month-to-month,Fiber optic,Electronic check,No,Yes
CUST0180,49,2,49.8,Two year,Fiber optic,Electronic check,No,No
CUST0181,77,44,101.39,One year,No,Electronic check,No,No
CUST0182,27,67,41.3,Two year,Fiber optic,Bank transfer,Yes,No
CUST0183,49,50,38.17,Two year,DSL,Mailed check,No,Yes
CUST0184,61,33,46.75,Month-to-month,Fiber optic,Electronic check,No,No
CUST0185,49,31,46.66,One year,DSL,Mailed check,No,Yes
CUST0186,46,23,108.2,Month-to-month,Fiber optic,Bank transfer,No,No
CUST0187,28,11,67.86,Two year,No,Electronic check,Yes,Yes
CUST0188,42,44,124.09,One year,Fiber optic,Mailed check,Yes,No
CUST0189,33,41,43.04,Month-to-month,DSL,Electronic check,Yes,No
CUST0190,36,1,92.09,Two year,No,Mailed check,No,Yes
CUST0191,61,30,72.63,Month-to-month,Fiber optic,Electronic check,Yes,No
CUST0192,57,21,67.33,One year,DSL,Bank transfer,No,No
CUST0193,56,13,113.13,One year,DSL,Credit card,No,Yes
CUST0194,40,51,122.68,Month-to-month,DSL,Bank transfer,No,Yes
CUST0195,78,38,112.92,One year,DSL,Credit card,Yes,No
CUST0196,23,46,48.27,Two year,No,Bank transfer,No,No
CUST0197,39,52,50.98,Month-to-month,No,Electronic check,Yes,Yes
CUST0198,25,71,92.33,One year,DSL,Bank transfer,No,Yes
CUST0199,39,58,57.46,Month-to-month,DSL,Mailed check,Yes,No
CUST0200,78,45,99.8,One year,DSL,Electronic check,Yes,No
CUST0201,41,64,83.81,Month-to-month,Fiber optic,Credit card,Yes,Yes
CUST0202,75,35,82.34,Two year,Fiber optic,Electronic check,No,Yes
CUST0203,49,71,108.71,Two year,DSL,Electronic check,Yes,Yes
CUST0204,62,55,97.5,Month-to-month,DSL,Mailed check,No,Yes
CUST0205,46,47,32.52,Month-to-month,DSL,Mailed check,No,Yes
CUST0206,34,66,34.7,One year,Fiber optic,Credit card,No,Yes
CUST0207,66,38,87.15,One year,Fiber optic,Bank transfer,Yes,Yes
CUST0208,79,52,76.19,Month-to-month,Fiber optic,Mailed check,Yes,No
CUST0209,34,21,54.72,Month-to-month,DSL,Electronic check,Yes,Yes
CUST0210,67,70,69.77,Month-to-month,No,Bank transfer,Yes,Yes
CUST0211,34,45,102.0,Two year,DSL,Bank transfer,No,Yes
CUST0212,63,57,108.53,Month-to-month,Fiber optic,Mailed check,Yes,Yes
CUST0213,67,34,83.32,Two year,No,Credit card,Yes,No
CUST0214,46,63,66.61,Month-to-month,DSL,Mailed check,Yes,No
CUST0215,64,6,55.72,Two year,Fiber optic,Mailed check,No,No
CUST0216,35,9,79.58,Month-to-month,No,Mailed check,Yes,Yes
CUST0217,22,37,59.9,Month-to-month,No,Credit card,No,Yes
CUST0218,24,53,83.59,Two year,DSL,Mailed check,Yes,Yes
CUST0219,46,59,94.28,Two year,DSL,Electronic check,No,Yes
CUST0220,74,32,36.28,Month-to-month,Fiber optic,Mailed check,No,Yes
CUST0221,26,47,30.1,Month-to-month,DSL,Electronic check,Yes,Yes
CUST0222,46,40,50.17,Month-to-month,DSL,Credit card,Yes,No
CUST0223,62,70,114.98,Month-to-month,Fiber optic,Electronic check,Yes,Yes
CUST0224,30,48,91.4,Month-to-month,DSL,Electronic check,Yes,Yes
CUST0225,63,31,46.34,Two year,No,Credit card,Yes,No
CUST0226,37,70,114.58,Month-to-month,Fiber optic,Credit card,No,Yes
CUST0227,68,8,74.65,One year,No,Mailed check,No,Yes
CUST0228,54,71,75.23,Month-to-month,No,Bank transfer,Yes,Yes
CUST0229,52,12,118.88,Month-to-month,DSL,Bank transfer,No,Yes
CUST0230,29,21,35.65,One year,No,Credit card,Yes,No
CUST0231,47,60,50.44,Month-to-month,No,Credit card,No,No
CUST0232,71,53,85.65,One year,No,Credit card,Yes,No
CUST0233,19,70,48.57,Month-to-month,DSL,Electronic check,No,Yes
CUST0234,65,54,94.56,Two year,DSL,Electronic check,No,Yes
CUST0235,49,46,50.34,One year,Fiber optic,Electronic check,Yes,No
CUST0236,63,25,39.42,Two year,Fiber optic,Mailed check,Yes,No
CUST0237,59,1,49.66,Month-to-month,Fiber optic,Bank transfer,Yes,Yes
CUST0238,45,9,70.16,Month-to-month,DSL,Electronic check,No,Yes
CUST0239,37,22,46.73,Month-to-month,Fiber optic,Electronic check,No,Yes
CUST0240,57,3,42.8,One year,DSL,Bank transfer,No,No
CUST0241,26,37,111.73,Month-to-month,No,Credit card,No,Yes
CUST0242,54,56,60.44,Month-to-month,DSL,Credit card,No,Yes
CUST0243,23,70,64.27,Month-to-month,Fiber optic,Mailed check,No,Yes
CUST0244,58,36,35.25,Month-to-month,DSL,Electronic check,No,Yes
CUST0245,57,64,63.95,Month-to-month,Fiber optic,Credit card,No,Yes
CUST0246,23,71,55.16,Month-to-month,DSL,Electronic check,Yes,No
CUST0247,65,62,88.0,Month-to-month,Fiber optic,Mailed check,No,Yes
CUST0248,44,34,49.51,One year,No,Bank transfer,Yes,Yes
CUST0249,67,24,114.39,Month-to-month,DSL,Electronic check,Yes,Yes
CUST0250,20,71,118.32,Month-to-month,DSL,Credit card,No,No
CUST0251,29,18,39.48,One year,Fiber optic,Electronic check,Yes,No
CUST0252,49,30,40.2,One year,DSL,Credit card,Yes,Yes
CUST0253,29,6,40.96,Month-to-month,DSL,Bank transfer,Yes,Yes
CUST0254,38,58,88.86,One year,No,Bank transfer,No,No
CUST0255,59,47,41.59,Two year,DSL,Mailed check,No,No
CUST0256,27,7,110.98,One year,DSL,Credit card,Yes,No
CUST0257,60,16,101.66,Two year,No,Bank transfer,Yes,No
CUST0258,24,40,107.88,One year,Fiber optic,Credit card,No,Yes
CUST0259,29,39,79.98,Month-to-month,Fiber optic,Mailed check,No,Yes
CUST0260,55,58,124.68,Month-to-month,Fiber optic,Mailed check,Yes,Yes
CUST0261,67,20,34.2,One year,DSL,Mailed check,No,No
CUST0262,28,67,68.12,Two year,No,Mailed check,No,No
CUST0263,36,33,60.77,Month-to-month,DSL,Bank transfer,Yes,Yes
CUST0264,76,60,120.12,Month-to-month,Fiber optic,Bank transfer,No,No
CUST0265,80,18,84.8,One year,No,Credit card,No,Yes
CUST0266,54,3,106.59,Month-to-month,DSL,Credit card,No,Yes
CUST0267,46,4,46.18,One year,Fiber optic,Bank transfer,Yes,Yes
CUST0268,39,27,122.97,One year,DSL,Electronic check,No,No
CUST0269,56,69,77.37,One year,DSL,Electronic check,No,No
CUST0270,55,4,76.9,Two year,Fiber optic,Credit card,No,No
CUST0271,36,27,122.23,One year,No,Electronic check,No,No
CUST0272,19,8,66.17,One year,Fiber optic,Mailed check,No,No
CUST0273,27,68,67.76,One year,No,Credit card,No,No
CUST0274,78,49,85.55,Two year,Fiber optic,Bank transfer,No,No
CUST0275,44,55,42.16,Two year,No,Mailed check,Yes,No
CUST0276,48,52,60.5,Month-to-month,DSL,Mailed check,Yes,No
CUST0277,47,48,48.35,One year,DSL,Electronic check,Yes,No
CUST0278,67,56,39.81,Month-to-month,Fiber optic,Bank transfer,No,No
CUST0279,22,1,112.28,Two year,DSL,Credit card,Yes,Yes
CUST0280,23,63,85.99,One year,No,Credit card,No,No
CUST0281,35,54,64.07,Month-to-month,DSL,Credit card,Yes,No
CUST0282,48,54,68.82,Month-to-month,DSL,Electronic check,Yes,Yes
CUST0283,60,29,70.99,Month-to-month,No,Credit card,No,No
CUST0284,48,58,90.15,One year,DSL,Mailed check,Yes,Yes
CUST0285,45,28,118.04,Month-to-month,No,Mailed check,No,Yes
CUST0286,77,4,118.61,Month-to-month,Fiber optic,Bank transfer,Yes,Yes
CUST0287,28,66,67.19,Two year,DSL,Credit card,No,No
CUST0288,54,17,61.28,One year,DSL,Mailed check,Yes,No
CUST0289,52,8,72.85,Month-to-month,DSL,Electronic check,No,Yes
CUST0290,47,45,83.95,Month-to-month,Fiber optic,Mailed check,No,Yes
CUST0291,68,17,73.87,Two year,No,Credit card,Yes,No
CUST0292,34,62,92.58,One year,No,Bank transfer,Yes,No
CUST0293,78,32,82.67,One year,DSL,Electronic check,Yes,No
CUST0294,38,1,60.47,Month-to-month,Fiber optic,Electronic check,No,Yes
CUST0295,52,69,62.84,Month-to-month,DSL,Mailed check,No,No
CUST0296,50,38,65.97,Month-to-month,Fiber optic,Electronic check,Yes,No
CUST0297,71,19,38.99,One year,DSL,Electronic check,Yes,No
CUST0298,45,49,45.78,Month-to-month,Fiber optic,Mailed check,No,Yes
CUST0299,35,39,98.7,Month-to-month,DSL,Electronic check,No,Yes
CUST0300,19,3,66.96,One year,DSL,Bank transfer,No,Yes
CUST0301,40,55,50.38,Two year,No,Bank transfer,No,No
CUST0302,70,29,83.45,One year,DSL,Electronic check,No,No
CUST0303,18,51,101.78,Month-to-month,DSL,Bank transfer,No,Yes
CUST0304,74,65,54.46,Month-to-month,No,Mailed check,Yes,Yes
CUST0305,52,44,108.55,Month-to-month,DSL,Bank transfer,Yes,Yes
CUST0306,26,49,118.11,Month-to-month,No,Electronic check,Yes,Yes
CUST0307,37,19,86.75,One year,Fiber optic,Credit card,No,No
CUST0308,52,18,93.55,Month-to-month,DSL,Mailed check,Yes,Yes
CUST0309,37,30,34.99,One year,No,Bank transfer,No,Yes
CUST0310,24,62,119.82,Two year,DSL,Electronic check,No,Yes
CUST0311,59,38,67.29,Two year,No,Bank transfer,No,No
CUST0312,60,26,117.77,Month-to-month,DSL,Mailed check,No,Yes
CUST0313,25,57,85.0,Month-to-month,DSL,Credit card,Yes,Yes
CUST0314,35,62,30.44,Month-to-month,DSL,Mailed check,No,No
CUST0315,33,65,33.66,Month-to-month,Fiber optic,Bank transfer,Yes,Yes
CUST0316,59,22,94.64,Month-to-month,DSL,Electronic check,No,Yes
CUST0317,64,52,83.45,Month-to-month,Fiber optic,Credit card,No,Yes
CUST0318,63,43,32.52,One year,Fiber optic,Bank transfer,No,No
CUST0319,77,33,100.63,Month-to-month,No,Credit card,No,Yes
CUST0320,66,29,110.95,Two year,DSL,Mailed check,Yes,No
CUST0321,38,9,77.16,Month-to-month,Fiber optic,Mailed check,No,Yes
CUST0322,24,20,74.25,Month-to-month,Fiber optic,Mailed check,No,No
CUST0323,56,40,30.52,Month-to-month,DSL,Bank transfer,No,No
CUST0324,75,64,104.73,Month-to-month,Fiber optic,Bank transfer,Yes,Yes
CUST0325,79,63,61.42,Month-to-month,Fiber optic,Electronic check,Yes,Yes
CUST0326,32,14,113.48,Two year,DSL,Bank transfer,No,Yes
CUST0327,32,49,65.44,Month-to-month,DSL,Mailed check,Yes,No
CUST0328,20,7,83.68,Month-to-month,Fiber optic,Credit card,No,No
CUST0329,26,49,55.68,One year,DSL,Electronic check,No,No
CUST0330,52,25,45.26,Month-to-month,No,Mailed check,No,Yes
CUST0331,52,33,103.62,One year,DSL,Electronic check,Yes,No
CUST0332,41,52,77.18,Month-to-month,Fiber optic,Electronic check,No,No
CUST0333,37,31,80.97,Two year,DSL,Electronic check,Yes,Yes
CUST0334,70,59,121.71,Month-to-month,DSL,Mailed check,No,Yes
CUST0335,46,39,121.54,Month-to-month,DSL,Electronic check,No,Yes
CUST0336,68,72,111.29,One year,DSL,Mailed check,Yes,No
CUST0337,78,46,47.82,Two year,No,Bank transfer,Yes,No
CUST0338,37,22,86.46,Month-to-month,DSL,Electronic check,Yes,Yes
CUST0339,30,56,113.42,One year,Fiber optic,Mailed check,No,No
CUST0340,78,30,65.57,Month-to-month,No,Credit card,No,Yes
CUST0341,57,39,39.61,Month-to-month,DSL,Bank transfer,Yes,Yes
CUST0342,36,10,107.04,Month-to-month,Fiber optic,Electronic check,Yes,Yes
CUST0343,57,9,75.77,One year,No,Bank transfer,No,No
CUST0344,50,42,83.62,Month-to-month,Fiber optic,Credit card,Yes,Yes
CUST0345,75,14,123.3,One year,DSL,Credit card,No,Yes
CUST0346,34,72,87.69,Month-to-month,Fiber optic,Electronic check,No,Yes
CUST0347,80,62,70.37,Two year,No,Mailed check,No,No
CUST0348,76,51,65.15,Two year,Fiber optic,Electronic check,No,No
CUST0349,29,53,69.67,Month-to-month,No,Bank transfer,No,No
CUST0350,28,43,41.25,Month-to-month,Fiber optic,Bank transfer,No,Yes
CUST0351,51,5,105.5,Month-to-month,No,Bank transfer,Yes,No
CUST0352,20,29,109.58,Two year,DSL,Bank transfer,Yes,No
CUST0353,36,36,57.02,Month-to-month,DSL,Electronic check,No,No
CUST0354,45,66,58.86,One year,Fiber optic,Electronic check,Yes,No
CUST0355,79,16,113.06,Month-to-month,Fiber optic,Bank transfer,No,No
CUST0356,80,36,32.28,One year,No,Credit card,No,No
CUST0357,27,25,79.44,Month-to-month,Fiber optic,Electronic check,No,Yes
CUST0358,74,10,74.05,One year,DSL,Electronic check,Yes,No
CUST0359,23,8,95.56,Two year,DSL,Bank transfer,No,Yes
CUST0360,65,27,45.52,Month-to-month,No,Mailed check,No,No
CUST0361,71,6,93.49,Two year,No,Mailed check,Yes,No
CUST0362,74,5,65.79,Month-to-month,Fiber optic,Credit card,No,Yes
CUST0363,32,26,88.78,Month-to-month,Fiber optic,Mailed check,No,Yes
CUST0364,74,15,33.81,Two year,DSL,Mailed check,No,No
CUST0365,25,40,73.86,One year,Fiber optic,Bank transfer,No,No
CUST0366,50,2,79.61,One year,No,Electronic check,Yes,No
CUST0367,47,22,50.36,Month-to-month,Fiber optic,Credit card,No,Yes
CUST0368,37,33,43.26,Month-to-month,DSL,Electronic check,No,No
CUST0369,19,70,47.91,Month-to-month,DSL,Mailed check,Yes,No
CUST0370,66,46,62.69,One year,DSL,Mailed check,Yes,No
CUST0371,39,64,39.2,Month-to-month,Fiber optic,Bank transfer,Yes,Yes
CUST0372,59,25,120.0,Month-to-month,DSL,Mailed check,Yes,No
CUST0373,43,33,68.47,Month-to-month,Fiber optic,Credit card,No,Yes
CUST0374,41,31,106.85,Month-to-month,Fiber optic,Electronic check,Yes,Yes
CUST0375,73,64,122.57,Month-to-month,DSL,Electronic check,No,Yes
CUST0376,23,70,37.67,Month-to-month,Fiber optic,Bank transfer,Yes,No
CUST0377,64,70,91.91,Two year,DSL,Credit card,No,Yes
CUST0378,65,55,112.78,One year,DSL,Credit card,Yes,No
CUST0379,41,37,90.25,Month-to-month,No,Electronic check,No,Yes
CUST0380,34,39,70.76,One year,DSL,Electronic check,Yes,No
CUST0381,18,71,70.95,Two year,DSL,Credit card,No,Yes
CUST0382,77,21,33.41,Month-to-month,DSL,Mailed check,Yes,No
CUST0383,77,25,80.79,Month-to-month,No,Mailed check,Yes,No
CUST0384,33,65,124.39,Month-to-month,DSL,Credit card,No,Yes
CUST0385,20,28,121.08,Month-to-month,DSL,Credit card,No,Yes
CUST0386,25,17,33.84,One year,No,Mailed check,No,No
CUST0387,22,41,97.05,Two year,No,Bank transfer,Yes,Yes
CUST0388,70,24,58.67,Month-to-month,Fiber optic,Credit card,Yes,Yes
CUST0389,74,65,115.78,One year,DSL,Mailed check,No,No
